Date,Close,High,Low,Open,Volume
2024-05-22,351.9369812011719,355.160327798157,348.59498899253254,354.4681881643515,2104200
2024-05-23,346.7559509277344,357.2762750986218,344.8674276512105,356.3468441630683,2749200
2024-05-24,344.9761657714844,349.92983154866346,342.7811313131192,348.6741251910462,2633800
2024-05-28,342.573486328125,345.3024561216961,340.5267589829467,344.086278241003,2264900
2024-05-29,334.3074951171875,341.42653374375453,333.92189686936445,341.1200225142853,3040000
2024-05-30,335.4346923828125,340.6750749177193,334.663465704574,334.663465704574,2745800
2024-05-31,334.7129211425781,337.0562929644505,331.2918414880742,335.5237064898401,8319400
2024-06-03,327.6334228515625,337.5605187908676,322.086528886893,337.03648051876314,3878600
2024-06-04,323.88604736328125,326.61498697761476,320.85056635041377,325.01321085793984,3706600
2024-06-05,325.74493408203125,327.54444296939903,323.02586127725425,325.7745954874722,2616300
2024-06-06,324.5979919433594,327.30716768697886,323.41147531912117,326.506279526648,2452100
2024-06-07,325.24066162109375,329.136353818214,320.07936582829393,322.53148599621,2499100
2024-06-10,325.9031066894531,328.17725840257657,324.7462817079927,325.0132343557829,2640500
2024-06-11,323.6289978027344,324.9440572297523,320.089272541754,324.0739490741493,3247000
2024-06-12,325.0329895019531,331.4005652509686,322.3336812471424,329.4032636199903,4817300
2024-06-13,322.68963623046875,324.20245832689915,317.83488221948477,323.81682990835003,3183900
2024-06-14,317.85467529296875,319.0510589045054,312.29788393969,317.7755882681803,4195300
2024-06-17,318.7742004394531,320.1980082421218,315.29379812980176,317.8546667010874,3198900
2024-06-18,321.4833984375,321.93821669907453,317.3899435602225,319.41687661290007,3275300
2024-06-20,325.42852783203125,327.37637393408744,320.9296801473989,321.4042928120194,4463300
2024-06-21,324.15301513671875,326.83252926242335,322.51168034468145,326.81276505084537,8265100
2024-06-24,326.2887268066406,329.9174662269398,322.40293193833736,325.6559099436822,2447300
2024-06-25,323.71795654296875,325.76468395139057,320.7220340278578,324.3211119928721,2995900
2024-06-26,323.0555114746094,324.0244708016435,320.13867595184286,322.5808988296505,2198600
2024-06-27,323.77728271484375,325.52739610009667,321.0186815785233,322.3633721457717,1995100
2024-06-28,329.3538818359375,330.43161980799766,324.6276400938607,324.81550572126633,8891500
2024-07-01,325.3790588378906,331.5192411257059,321.71079100877165,331.34124252471406,2950200
2024-07-02,324.0739440917969,326.3777270905068,321.91843794878463,324.31123533990564,2119800
2024-07-03,326.8918762207031,327.68289735779155,324.5683289523316,324.5683289523316,1352200
2024-07-05,324.65728759765625,329.69004037433996,322.95663000484933,327.8410757595028,2280900
2024-07-08,325.3592834472656,329.5120609719969,323.46089327977586,326.64465116120414,1913400
2024-07-09,322.39300537109375,326.4073426848243,322.1655811739953,324.84512523008374,1896100
2024-07-10,324.78582763671875,324.78582763671875,318.02275592053326,322.432588992691,2904400
2024-07-11,327.4060363769531,330.6689117052418,325.59660010403104,326.28873980366564,3016400
2024-07-12,331.81585693359375,334.4261812354139,329.6801452796597,331.1830702441145,2451300
2024-07-15,341.88134765625,343.9873978138348,334.0405382481406,335.2863775355834,3394300
2024-07-16,356.5248107910156,358.2057042211139,341.37712640555503,342.92944684700484,4637000
2024-07-17,353.7760925292969,358.6111130261009,352.1941106113356,354.93294773553623,3061000
2024-07-18,352.0260009765625,365.0775627157842,351.7491511299424,352.4907164520716,3876300
2024-07-19,343.720458984375,352.48080242095637,342.7910280777549,351.3536388758361,3462700
2024-07-22,345.3585510253906,346.2123580182162,338.91541521323865,345.4876173391991,2659600
2024-07-23,341.6852722167969,346.142846891022,338.9154061855745,343.2340073467316,2027800
2024-07-24,333.6139831542969,342.33059513610954,333.02824626783973,340.4741003626885,2835800
2024-07-25,341.8143005371094,345.68616857206274,331.5390470055563,333.08778210063554,3291300
2024-07-26,347.94970703125,350.3919384831521,344.3756913106278,346.1229946178776,1894900
2024-07-29,342.04266357421875,348.8432160411958,340.6527769372414,347.65186732535443,2190300
2024-07-30,339.2529296875,343.22405140675096,336.17530429562964,341.1789261451171,1970800
2024-07-31,343.70062255859375,348.45601935810487,338.3892408034395,342.8567530708532,2568100
2024-08-01,329.1265869140625,347.30439580213005,325.7114195032389,343.7998817802233,3747900
2024-08-02,318.553466796875,321.06520019171154,315.3666499490422,320.4198989411341,4246700
2024-08-05,314.5128479003906,318.2655569500942,304.8332380986605,306.769172177909,4681300
2024-08-06,324.083251953125,329.77189482865515,308.258329184112,311.7826876565259,5071700
2024-08-07,323.4478759765625,332.7601619485418,322.1076465344142,331.10223547387767,3011700
2024-08-08,333.73309326171875,334.001133087093,325.2448018911271,327.6175618056754,2268300
2024-08-09,335.81793212890625,336.0561897470468,330.0796622130626,333.5742385672311,1668100
2024-08-12,333.6040344238281,337.39646325315107,331.19158504964764,335.8179458738506,2127600
2024-08-13,336.35400390625,337.0688070412161,331.32063005717106,334.74570442689003,1503800
2024-08-14,335.15277099609375,339.32246128512423,332.18436694629173,337.1482695297771,1610900
2024-08-15,343.1446533203125,345.1302142436873,338.3296620216776,342.0128690513063,3232600
2024-08-16,341.000244140625,343.34319148926454,338.29988007093976,342.7574546521047,2483800
2024-08-19,342.16180419921875,343.6013480891215,340.8215444219399,341.1988058715562,2252600
2024-08-20,340.821533203125,343.67083868507854,339.35223745478305,342.50927217040345,1479500
2024-08-21,340.4939270019531,343.1049445469158,339.38201769700845,342.09228905349704,1433200
2024-08-22,339.8883056640625,342.6482644438276,339.3025688250224,340.52369970473643,2021400
2024-08-23,345.8946533203125,347.01650011886125,340.59320915220036,342.47948601918876,2183900
2024-08-26,348.6247863769531,351.8513228387061,346.4208125665732,347.28452671031243,1718100
2024-08-27,348.5850830078125,349.18075736503437,344.59411631976155,347.8206529326858,1210800
2024-08-28,345.6861572265625,351.87115990415646,343.3431796613812,348.05888669544606,1514500
2024-08-29,349.1013488769531,353.8865278516388,344.98128557224084,348.6843677369793,1664500
2024-08-30,353.52911376953125,353.6680872738174,347.30436114328137,350.04444479875036,2974100
2024-09-03,337.78363037109375,350.08419540878174,335.95691787191316,349.6672142645988,3107200
2024-09-04,334.3188171386719,338.38922305044224,332.86936616229684,336.1455295342861,2782500
2024-09-05,331.15185546875,334.0606950124497,328.1735140199024,333.5940869735733,2525500
2024-09-06,326.9821472167969,336.1753036750127,325.7511091812231,331.78723114980363,2676600
2024-09-09,331.6283874511719,333.9316150515474,330.5661051064991,331.4993211461035,2355800
2024-09-10,331.7475280761719,333.32604540010254,327.0119761043798,332.6906513516683,1869200
2024-09-11,332.58148193359375,333.05802750128754,323.75564836288123,330.59592084742303,1934700
2024-09-12,337.12835693359375,338.57783814035446,331.270958597733,332.85941330675973,1747600
2024-09-13,342.8170166015625,344.71323090688765,337.89283402642405,339.94789684027046,2518600
2024-09-16,345.4478759765625,348.92260754228636,341.8043887012519,345.83507489371124,1648200
2024-09-17,351.13653564453125,352.02009453036754,346.7186503235808,347.4731731947829,2088400
2024-09-18,352.5561828613281,359.01919318154773,349.7764097651339,352.4370540568133,1990700
2024-09-19,370.6148986816406,371.9849406659661,358.66181257040694,360.3793338010444,4066600
2024-09-20,366.15728759765625,368.7683049913322,363.1987909920046,367.72586735540494,5440500
2024-09-23,368.4903564453125,370.2773492503156,364.33060367088444,366.3260719004446,2442700
2024-09-24,383.1437683105469,386.61850003530685,376.76019701325794,377.25658725965224,4024300
2024-09-25,375.51922607421875,385.8342300654443,375.1916218383111,384.20605549430974,2661500
2024-09-26,388.137451171875,394.35226672294374,383.4118366503179,387.19432788646674,3906800
2024-09-27,388.2565612792969,392.7042285590538,386.330595098502,388.1771521748613,2683700
2024-09-30,388.2962951660156,389.92446969034665,384.0273512354743,386.56886683182773,2251300
2024-10-01,389.55712890625,392.63472401279023,383.8387039132511,388.44518937085786,2091400
2024-10-02,391.20513916015625,392.8035315003386,385.83422338189973,389.15010657600203,1767900
2024-10-03,388.2665100097656,391.1555048104065,385.9136251456497,389.50748559609303,1866100
2024-10-04,394.22320556640625,394.5905295042711,389.0210454354968,393.8558816285414,1675100
2024-10-07,395.37481689453125,398.2737491589884,393.28006467350383,393.58782419131114,2224500
2024-10-08,385.15911865234375,392.1483019346128,382.07158580511145,391.4136540514271,2438800
2024-10-09,393.3297119140625,393.73675555804,384.7024468751969,385.36762314639344,1757900
2024-10-10,393.7764587402344,394.09412546357197,387.6807721337837,392.3269774452493,1331700
2024-10-11,399.11761474609375,400.6862249380986,393.7764809847711,393.7764809847711,2110400
2024-10-14,391.1058654785156,393.4289680666336,384.07696301443644,390.54991085728676,3006100
2024-10-15,385.1888732910156,389.63654057004175,384.79176717439384,387.8098281957778,2715100
2024-10-16,390.7782287597656,391.7511644900463,384.1365252465258,384.60313326141244,1551600
2024-10-17,391.6419677734375,394.25298532282187,390.3215830458937,392.29720653580154,1561500
2024-10-18,391.0165100097656,393.5878381454557,386.9064145277392,393.38926992816675,3024100
2024-10-21,389.0537414550781,391.71397197031894,387.8182500100469,390.8571278061918,2375900
2024-10-22,387.04107666015625,389.86075664139935,384.32106789959283,388.3064572336181,1523900
2024-10-23,384.3210754394531,388.6053568951391,381.2921709724608,385.5366204264225,1500900
2024-10-24,385.6462097167969,386.941449132388,380.8238921057703,385.5366261012799,1844100
2024-10-25,384.5601806640625,390.5980430590314,382.906240445432,388.1868691386862,1606800
2024-10-28,389.1832275390625,390.1397428966781,385.9550718239079,386.9713655906109,3213900
2024-10-29,386.0945739746094,388.1769363016482,384.14171126282736,388.0772954847437,2186400
2024-10-30,377.8547668457031,386.8418395824623,365.8587664040361,372.63391635717767,4037500
2024-10-31,374.8258972167969,377.52599010791704,371.3884865869489,375.9716906247099,2394500
2024-11-01,378.24334716796875,381.87003568991406,375.5631703794096,376.68904774340535,1633300
